name	script	premerge_default	ci_enforced	issue	notes
no_new_domain_builtins	check_no_new_domain_builtins.sh	true	true	#9696	Layer-2 BuiltinId/LOC ratchet; first audit wired into the premerge default gate set
base_cache_schema_fingerprint	audit_base_cache_schema_fingerprint.sh	true	true	#10256	Base cache schema snapshot fingerprint; paired with no_new_domain_builtins in the premerge default gate set
compile_vm_coupling	audit_compile_vm_coupling.sh	true	false	#11065	Compiler/VM boundary must remain 0/0/0; pr-fast references it, but ci.yml does not, so local guarded premerge is the merge authority while Actions are disabled
fixture_categories	check_fixture_categories.sh	true	true	#11065	Canonical fixture-category allowlist; default premerge registration closes the #11053 near-synonym escape
structural_debt_inventory	check_structural_debt_inventory.sh	true	true	#10870	Structural debt ratchet (string branches, unwrap/expect, FFI raw pointers, large files/tests); already ci.yml-enforced but was missing from the premerge default gate set until #10870
panic_free_ratchet	check_panic_free_ratchet.sh	true	true	#10870	Per-module panic-source ratchet (unwrap/expect/panic!/todo!/unimplemented!); already ci.yml-enforced but was missing from the premerge default gate set until #10870
test_binary_budget	check_test_binary_budget.sh	true	true	#10912	tests/*.rs allowlist ratchet (Issue #9671); already ci.yml-enforced but was missing from the premerge default gate set, which let f64_function_block_tests.rs (PR #10427) land unallowlisted
panic_free_production_baseline	check_panic_free_production_baseline.sh	true	false	#10908	Production-lane (user-input-reachable bucket) panic-source gate, target 0 modulo docs/vm/PANIC_FREE_PRODUCTION_BASELINE.tsv's issue-linked allowlist rows (Issue #10908 Phase 3 of #10869); ci_enforced=false — new script, automation cannot push .github/workflows/ci.yml (no workflow OAuth scope), tracked here until a human adds it
lambda_context_routing	check_lambda_context_routing.sh	true	true	#11211	LambdaContext routing and lexical struct-new authority: R1-R3 confine predicate/context routing; R4-R5 inventory and pin sanctioned new_struct_name mutation/clear seams; R6 retains the four ownerless lookup fixtures (Issues #10936/#10965/#11179/#11211)
constructor_identity_authority	check_constructor_identity_authority.sh	true	true	#11043	MethodTable constructor_self_families is the sole constructor-origin authority; analyzer and cache replay retain canonical signatures
definition_order_merges	check_definition_order_merges.sh	true	true	#11036	Every independently lowered Program/Module crosses the cumulative chronology API; raw merge/replay sites are explicitly classified
python_audit_compatibility	check_python_audit_compatibility.sh	true	true	#11102	External Python helpers launched by source audits must parse and import at the ambient Python 3.9 floor
fixture_coverage_contract_selftest	fixture_coverage_contract_selftest.sh	true	true	#11041	Sandboxed positive/negative contract matrix for literal and computed fixture-helper paths
name_based_lookup	check_name_based_lookup.sh	true	true	#11046	Semantic-identity ratchet for #10279/#10459: owner-scoped StructRegistry keeps name-keyed StructInfo maps and bare struct_table gets at zero; TypeVar residuals remain ratcheted. #11046 pins explicit declaration/alias insertion, deterministic type-id projection, and mutation-tested current-module/Main/cache-restore owner delegation
type_representation_string_reparse	check_type_representation_string_reparse.sh	true	true	#11241	Structured-type semantic bridge ratchet for #10460; guarded premerge registration prevents baseline drift, and the #11208 focused matrix pins cfg(test) trivia classification in both directions
test_aot_vm_aot_lane	check_test_aot_vm_aot_lane.sh	true	false	#10815	Pins that scripts/test_aot.sh (the mandatory per-AoT-change local gate) still invokes metamorphic_equivalence.sh's --lane vm_aot differential lane + its --selftest, and that tests/equivalence/vm_aot.tsv holds >= 11 cases (ratchet against shrinking back to the 3 original acceptance kernels); ci_enforced=false — new script, automation cannot push .github/workflows/ci.yml (no workflow OAuth scope), tracked here until a human adds it
aot_gate_selection	check_aot_gate_selection.sh	true	true	#10866	One canonical changed-path selector drives pr-fast.yml and ci.yml; direct AoT plus shared inference_core/runtime_types/cache-key semantics select scripts/test_aot.sh, while docs-only and unrelated app paths remain negative controls
exception_taxonomy_funnel	check_exception_taxonomy_funnel.sh	true	false	#11146	Exception-type taxonomy funnel (Issue #10813 Phase 2a): one compile-time-exhaustive VmError -> Julia exception class map (VmError::exception_class) is the sole authority; this audit rejects the residue a compiler cannot check -- a raise site whose MESSAGE names a class contradicting its VARIANT (4 of 5 root causes in #10354), a catch-time builder that re-hard-codes a struct-name literal, and a catch-all arm that would let a new variant skip classification. ci_enforced=false -- new script, automation cannot push .github/workflows (no workflow OAuth scope); tracked here until a human adds it
exception_payload_carrier	audit_exception_payload_carrier.sh	true	false	#11647	All exact typed exception fields use the single keyed one-shot VM carrier; guarded local premerge is authoritative while Actions are disabled
rust_toolchain_contract	check_rust_toolchain_contract.sh	true	true	#11253	Rust 1.95 MSRV/reference pin plus executable default/repl/aot/aot-cranelift Clippy lane registry; CI runs the registry again on moving current stable
status_done_archive_budget	check_status_done_archive_budget.sh	true	false	#11263	Read-only STATUS.md/DONE.md live-file budget; nightly owns CI execution, guarded local premerge is authoritative while Actions are disabled
constructor_owner_resolution	check_constructor_owner_resolution.sh	true	false	#11172	Owner-qualified constructor call sites may use only inventoried leaf-table compatibility projections; runtime DataType lookup retains exact-qualified and unique-bare guards; guarded local premerge is authoritative while Actions are disabled
binding_provenance_authority	check_binding_provenance_authority.sh	true	true	#11317	Every LocalDecl semantic consumer exhaustively handles typed provenance; declared-global frame-zero loads/stores route through the module-owner key authority
base_exports_subset	check_base_exports_subset.sh	true	true	#11298	SubsetJuliaVM Base export metadata must remain a subset of upstream Julia without linking the VM
source_position_chronology	check_source_position_chronology.sh	true	true	#11100	Lowering chronology APIs carry source identity by type and raw semantic offset comparisons are forbidden
builtin_type_registry	check_builtin_type_registry.sh	true	true	#10954	The complete exact-name/projection contract is fingerprinted; parser/compiler/reflection delegation and unsampled-row deletion are mutation-tested
constructor_return_identity	check_constructor_return_identity.sh	true	true	#11436	Constructor inference may return only an exact complete identity or Any; incomplete parameters, owner fallbacks, and family first-winner scans are forbidden
struct_registry_first_match	check_struct_registry_first_match.sh	true	true	#11436	Constructor identity stays exact-or-Any: first-winner scans over hash-backed struct registries are inventoried as unique-guarded/exact-key-equivalent/enumeration; new order-derived selection fails
math_router_exact_or_any	check_math_router_exact_or_any.sh	true	true	#11486	Argument-blind complex inference stays Top/Any and the sqrt routers keep runtime dispatch for not-proven-primitive operands (exact-or-Any for tfuncs and math-builtin routers)
callable_singleton_identity	check_callable_singleton_identity.sh	true	false	#11703	Callable runtime identity uses owner + helper provenance, never relocated candidate indices or display spelling; guarded local premerge is authoritative while Actions are disabled
