issue	created_at	state_at_snapshot	class	owner	reason	title
#9179	2026-07-04T00:18:02Z	closed	10	#10815	title:aot	AoT: #9103 generator-body lift produces expression-position LetBlock that AoT rejects (#7014), breaking test_aot_generator_expression_codegen_7046
#9182	2026-07-04T01:15:41Z	closed	0	#9182	self-owned/no-structural-match	REPL: トップレベル let ブロックの新規ローカル変数が (単純な即時returnケース以外で) 誤って永続化される (#9157 関連, 別根因)
#9183	2026-07-04T01:27:19Z	closed	0	#9183	self-owned/no-structural-match	Bug: scalar `Expr == Expr` fails to compile with "Cannot convert Expr to I64"
#9185	2026-07-04T01:43:21Z	closed	0	#9185	self-owned/no-structural-match	Bug: `@doc`-defined module macros are not exported via `using` (AbstractAlgebra `@req` unavailable)
#9193	2026-07-04T02:55:32Z	closed	1	#10459	title:shadow	Bug: REPLSession::reset() leaks global_types/global_struct_names, permanently breaking a Base function name shadowed earlier
#9203	2026-07-04T03:30:25Z	closed	0	#9203	self-owned/no-structural-match	Plots push!(plt,…) re-publishes all 7 current-figure holders every push (O(pushes×7) redundant global writes; ~38× slower than needed)
#9206	2026-07-04T03:43:20Z	closed	0	#9206	self-owned/no-structural-match	Plots @animate growing-path artifact is O(frames²) / ~61MB JSON — dominates iOS render time (Aizawa/Lorenz samples)
#9210	2026-07-04T04:20:28Z	closed	0	#9210	self-owned/no-structural-match	Bug: file-mode soft scope not enforced — loop assignment to existing global silently mutates it instead of UndefVarError
#9218	2026-07-04T05:52:38Z	closed	0	#9218	self-owned/no-structural-match	iOS: 3D growing-path animation (gl3d) OOMs — repeated WebGL redraws never free buffers
#9224	2026-07-04T06:55:52Z	closed	0	#9224	self-owned/no-structural-match	iOS: render 3D growing-path @animate/gif as a static full-resolution time-colored trace (avoid gl3d redraw OOM)
#9229	2026-07-04T07:38:48Z	closed	0	#9229	self-owned/no-structural-match	REPL OOM abort (rust_oom) evaluating the Aizawa @animate sample in the iOS app
#9233	2026-07-04T08:55:46Z	closed	0	#9233	self-owned/no-structural-match	Bug: iOS Editor 画面でソース編集(タイプ)すると固まる — 毎打鍵の全文再ハイライト + keyCommands 再生成
#9235	2026-07-04T10:18:10Z	closed	4	#10462	title:cache	WASM: embedded Base cache rejected on wasm32 (usize::MAX CallDynamic sentinel) → ~7 s cold start
