# Rust-side semantics classification (Issue #8672, parent #8648).
# Categories: intrinsic (RUST_BOUNDARY_JUSTIFICATION.md conditions 1-3) |
#   perf-measured (condition 4 with recorded benchmark) |
#   perf-pending  (condition 4 candidate, benchmark 計測待ち) |
#   migratable    (Julia-expressible; pure-julia-migration backlog) |
#   pure-julia-first (public name already owned by a Pure Julia definition; Rust is fallback).
# Joined into scripts/inventory_rust_semantics.sh output. Keep sorted by kind, then variant.
kind	key	category	evidence
builtin	Abspath	migratable	pure path-string manipulation over a `pwd()` primitive; upstream base/path.jl is pure Julia
builtin	All	pure-julia-first	Pure Julia definition owns the public name (base/reduce.jl); Rust handler is a dispatch fallback / fast path
builtin	_Allocatedinline	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	AllocUndefAny	intrinsic	condition 3: array storage allocation primitive (typed `alloc_undef_*` family)
builtin	AllocUndefBool	intrinsic	condition 3: array storage allocation primitive (typed `alloc_undef_*` family)
builtin	AllocUndefF64	intrinsic	condition 3: array storage allocation primitive (typed `alloc_undef_*` family)
builtin	AllocUndefI64	intrinsic	condition 3: array storage allocation primitive (typed `alloc_undef_*` family)
builtin	Any	pure-julia-first	Pure Julia definition owns the public name (base/reduce.jl); Rust handler is a dispatch fallback / fast path
builtin	Append	pure-julia-first	Pure Julia definition owns the public name (base/array.jl); Rust handler is a dispatch fallback / fast path
builtin	Backtrace	intrinsic	condition 1 (RUST_BOUNDARY §1): VM call-stack introspection accessible only via Rust runtime state; no Julia-level equivalent (Issue #9098)
builtin	BigFloat	intrinsic	condition 2 (RUST_BOUNDARY §5): MPFR-equivalent arbitrary-precision backend (Rust bigdecimal/rug analog)
builtin	BigFloatDefaultPrecision	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	BigFloatGetExp	intrinsic	underscored BigFloat/MPFR exponent primitive; public exponent/frexp/significand wrappers are Pure Julia (Issue #9286)
builtin	BigFloatNextfloat	intrinsic	underscored BigFloat/MPFR one-ULP stepping primitive; public nextfloat/prevfloat wrappers are Pure Julia (Issue #9280)
builtin	BigFloatPrecision	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	BigFloatRounding	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	BigFloatScale2	intrinsic	underscored BigFloat/MPFR exact scale-by-power-of-two primitive; public frexp/significand wrappers are Pure Julia (Issue #9286)
builtin	BigFloatSignbit	intrinsic	underscored BigFloat sign-bit primitive backed by VM BigFloat representation; public signbit wrapper is Pure Julia (Issue #9287)
builtin	BigInt	intrinsic	condition 2 (RUST_BOUNDARY §5): GMP-equivalent arbitrary-precision backend
builtin	Bitreverse	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Bool	pure-julia-first	Bool BuiltinId was removed earlier; public Bool(x::Real) is pure Julia in base/bool.jl (Issue #8777 scope already complete for Bool)
builtin	BroadcastBinaryArith	perf-measured	condition 4: no-JIT broadcast fast path dispatches once and runs numeric/complex binary arithmetic over array storage (Issue #8797)
builtin	BroadcastTypedKernel	perf-measured	condition 4: no-JIT broadcast fast path avoids per-element interpreted dispatch/boxing/frames (Issue #8797)
builtin	Bswap	intrinsic	underscored Layer-1/2 primitive by design; public surface is a Pure Julia wrapper (Public Base Routing Rule)
builtin	Cd	intrinsic	condition 1 (RUST_BOUNDARY §1/§3): OS boundary — filesystem/stream/process/clock access
builtin	Ceil	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	CeilDigits	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	CeilSigDigits	pure-julia-first	Pure Julia definition owns the public name (base/floatfuncs.jl); Rust handler is a dispatch fallback / fast path
builtin	CatchBacktrace	intrinsic	condition 1 (RUST_BOUNDARY §1): VM exception-path backtrace accessible only via Rust runtime state; no Julia-level equivalent (Issue #9098)
builtin	CharToInt	pure-julia-first	Public `Int(c::Char)` lives in base/strings/basic.jl and calls internal `_char_to_int`; Rust remains the Char storage bitcast boundary (Issue #8780)
builtin	Cholesky	pure-julia-first	Pure Julia definition owns the public name (stdlib/LinearAlgebra/src/LinearAlgebra.jl); Rust handler is a dispatch fallback / fast path
builtin	Close	pure-julia-first	Pure Julia definition owns the public name (base/channels.jl); Rust handler is a dispatch fallback / fast path
builtin	Codeunit	intrinsic	condition 3: byte-level access into VM-owned String storage (upstream bottoms at pointerref intrinsics)
builtin	CodeUnits	pure-julia-first	Public `codeunits(s)` returns a Pure Julia `CodeUnits` wrapper over `ncodeunits`/`codeunit`; Rust `CodeUnits` is no longer publicly routed (Issue #8780)
