kind	path	symbol	count	classification	mechanism	notes	success_policy	error_policy	replay_policy
cursor	subset_julia_vm/src/pipeline.rs	merge_prelude_into_user_program	1	independent	DefinitionOrderCursor::append_fragment	Prelude and user source have separate lowering counters.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm_compile/src/compile/base_merge.rs	merge_with_precompiled_base	1	independent	DefinitionOrderCursor::append_fragment	Precompiled Base and the input Program have separate chronology.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm/src/repl/session.rs	eval	1	independent	DefinitionOrderCursor::append_fragment	The new eval is rebased after retained definitions; package insertion is centralized in PackageLoader.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm/src/bin/sjulia.rs	compile_to_ir	1	independent	DefinitionOrderCursor::append_fragment	The Core-IR frontend separately lowers prelude and user source.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm/src/bin/aot.rs	merge_prelude	1	independent	DefinitionOrderCursor::append_fragment	The AoT frontend separately lowers prelude and user source.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm/src/loader.rs	load_into_program	1	independent_at_using	DefinitionOrderCursor::insert_fragment_after	Every fresh or cache-restored package fragment is inserted after its stamped top-level using/import event.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm/src/loader.rs	compose_loaded_fragment	1	independent_at_using	DefinitionOrderCursor::insert_fragment_after	Package dependencies are recursively composed at stamped package-local using/import events.	not_runtime_state	not_runtime_state	not_runtime_state
cursor	subset_julia_vm/src/bin/sjulia.rs	run_type_stability_analysis	1	independent	DefinitionOrderCursor::append_fragment	The type-stability CLI lowers prelude and user source in separate contexts (Issue #11134).	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/pipeline.rs	merge_program_fragment_into	5	same_context	raw vector extend	Batched prelude files share one LambdaContext and therefore one definition counter.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/repl/session.rs	merge_definitions	5	replay_already_rebased	raw vector push	Stored REPL definitions retain ordinals assigned when their original eval passed through the cursor.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/loader.rs	load_into_program	1	independent_after_cursor	raw module push	The immediately preceding cursor insertion places each Module at its stamped using/import chronology.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/loader.rs	compose_loaded_fragment	3	independent_after_cursor	fragment module transfer	The package-local cursor composes dependency fragments before transferring their modules and placing the root last for initialization.	not_runtime_state	not_runtime_state	not_runtime_state
raw	subset_julia_vm/src/pipeline.rs	merge_prelude_into_user_program	4	independent_after_cursor	filtered vector reconstruction	Prelude/user definitions are reconstructed only after the user Program passes through the cursor.	not_runtime_state	not_runtime_state	not_runtime_state
